Rank,Club,Country,Level,Elo,From,To
None,Lubin,POL,1,1341.69702148,2025-08-08,2025-08-15
None,Kilmarnock,SCO,1,1341.59436035,2025-08-11,2025-08-25
None,Bohemians Praha,CZE,1,1339.81713867,2025-08-11,2025-08-17
None,Cherno More,BUL,1,1339.51843262,2025-08-10,2025-08-16
None,Viitorul,ROM,1,1336.32043457,2025-08-10,2025-08-18
None,Kosice,SLK,0,1335.25549316,2025-08-08,2025-08-25
None,Zulte Waregem,BEL,1,1334.92822266,2025-08-11,2025-08-16
None,Motherwell,SCO,1,1334.54785156,2025-08-10,2025-08-25
None,Osijek,CRO,1,1334.29016113,2025-08-10,2025-08-17
None,Fatih Karaguemruek,TUR,1,1332.63842773,2025-08-11,2025-08-15
None,Lok Zagreb,CRO,1,1331.68151855,2025-08-10,2025-08-16
None,BW Linz,AUT,1,1330.74182129,2025-08-10,2025-08-17
None,Lechia,POL,1,1330.2388916,2025-08-12,2025-08-15
None,Olexandriya,UKR,1,1329.66796875,2025-08-11,2025-08-25
None,Kocaelispor,TUR,1,1329.39929199,2025-08-12,2025-08-16
None,Dresden,GER,2,1329.25195312,2025-08-10,2025-08-25
None,Genclerbirligi,TUR,1,1328.7845459,2025-08-10,2025-08-17
None,Gyoer,HUN,1,1325.12097168,2025-08-11,2025-08-14
None,Arka,POL,1,1323.66625977,2025-08-10,2025-08-16
None,Nizhny Novgorod,RUS,1,1323.47692871,2025-07-21,2025-08-25
None,Koper,SVN,1,1322.39501953,2025-08-10,2025-08-25
None,Atromitos,GRE,1,1322.21325684,2025-08-08,2025-08-25
None,Grasshoppers,SUI,1,1321.66491699,2025-08-11,2025-08-25
None,Norrkoeping,SWE,1,1321.12145996,2025-08-11,2025-08-16
None,RAAL,BEL,1,1320.05078125,2025-08-11,2025-08-25
None,Winterthur,SUI,1,1318.20507812,2025-08-10,2025-08-25
None,Levadeiakos,GRE,1,1316.97729492,2025-08-08,2025-08-25
None,Vikingur,ISL,0,1316.69494629,2025-08-08,2025-08-14
None,Dundee United,SCO,1,1316.64770508,2025-08-11,2025-08-14
None,Beitar,ISR,1,1316.6081543,2025-08-08,2025-08-14
None,Slaven Belupo,CRO,1,1316.37414551,2025-08-11,2025-08-17
None,Ham-Kam,NOR,1,1315.69616699,2025-08-10,2025-08-17
None,Hapoel Jerusalem,ISR,1,1314.77612305,2025-08-08,2025-08-25
None,Varazdin,CRO,1,1314.74243164,2025-08-11,2025-08-17
None,Slovacko,CZE,1,1314.46154785,2025-08-10,2025-08-16
None,Dinamo Bucuresti,ROM,1,1313.95141602,2025-08-09,2025-08-15
None,Valerenga,NOR,1,1312.08032227,2025-08-08,2025-08-17
None,Sabah,AZE,0,1311.54260254,2025-08-08,2025-08-14
None,Wattens,AUT,1,1310.44433594,2025-08-11,2025-08-16
None,Zira,AZE,0,1310.0670166,2025-08-08,2025-08-25
None,UTA Arad,ROM,1,1309.98815918,2025-08-10,2025-08-15
None,Altach,AUT,1,1309.5546875,2025-08-10,2025-08-17
None,Nakchivan,AZE,0,1309.47595215,2025-08-08,2025-08-14
None,Hermannstadt,ROM,1,1308.93261719,2025-08-11,2025-08-16
None,Varnamo,SWE,1,1305.3260498,2025-08-12,2025-08-18
None,Kryvbas,UKR,1,1305.08654785,2025-08-08,2025-08-25
None,Arda,BUL,1,1303.20654297,2025-08-12,2025-08-14
None,Shamrock,IRL,0,1302.93261719,2025-08-08,2025-08-14
None,FK Riga,LAT,0,1302.58972168,2025-08-08,2025-08-14
None,Dundee,SCO,1,1301.51745605,2025-08-10,2025-08-25
None,Kristiansund,NOR,1,1299.13366699,2025-08-08,2025-08-17
None,Bryne,NOR,1,1298.58032227,2025-08-11,2025-08-17
None,Netanya,ISR,1,1297.43591309,2025-08-08,2025-08-25
None,Tescoma Zlin,CZE,1,1296.65808105,2025-08-10,2025-08-16
None,Asteras Tripolis,GRE,1,1296.61303711,2025-08-08,2025-08-25
None,Thun,SUI,1,1296.0246582,2025-08-10,2025-08-25
None,OFI,GRE,1,1294.31091309,2025-08-08,2025-08-25
None,Otelul Galati,ROM,1,1292.76928711,2025-08-12,2025-08-25
None,Halmstad,SWE,1,1292.58447266,2025-08-10,2025-08-16
None,Zorya,UKR,1,1292.16821289,2025-08-12,2025-08-25
None,Debrecen,HUN,1,1292.12243652,2025-08-09,2025-08-25
None,Kolos,UKR,1,1289.92236328,2025-08-11,2025-08-16
None,Rukh Lviv,UKR,1,1286.18310547,2025-08-09,2025-08-15
None,Kairat,KAZ,0,1285.71875,2025-08-13,2025-08-25
None,MTK,HUN,1,1284.45471191,2025-08-10,2025-08-25
None,Ried,AUT,1,1283.46533203,2025-08-10,2025-08-16
None,Panetolikos,GRE,1,1283.33288574,2025-08-08,2025-08-25
None,St Patricks,IRL,0,1281.96496582,2025-08-08,2025-08-14
None,Dukla,CZE,1,1279.21655273,2025-08-10,2025-08-16
None,Stromsgodset,NOR,1,1278.45068359,2025-08-08,2025-08-15
None,Petrolul Ploiesti,ROM,1,1276.96191406,2025-08-10,2025-08-16
None,GAK,AUT,1,1276.6887207,2025-08-10,2025-08-16
None,Vaduz,LIE,0,1274.4609375,2025-08-08,2025-08-14
None,Kuopio,FIN,0,1271.76208496,2025-08-07,2025-08-14
None,Novi Sad,SRB,1,1271.65783691,2025-08-10,2025-08-16
None,Pyunik,ARM,0,1271.1307373,2025-08-08,2025-08-25
None,Ashdod,ISR,1,1269.2265625,2025-08-08,2025-08-25
None,Botosani,ROM,1,1267.80004883,2025-08-08,2025-08-17
None,Zalaegerszegi,HUN,1,1266.31030273,2025-08-11,2025-08-25
None,Oester,SWE,1,1263.78979492,2025-08-11,2025-08-17
None,Zrinjski Mostar,BHZ,0,1263.68139648,2025-08-08,2025-08-14
None,Ujpest,HUN,1,1262.54345703,2025-08-11,2025-08-15
None,Aarau,SUI,1,1260.57641602,2025-08-08,2025-08-25
None,Pardubice,CZE,1,1259.55224609,2025-08-11,2025-08-17
None,RFS,LAT,0,1259.2175293,2025-08-08,2025-08-14
None,Shelbourne,IRL,0,1259.0904541,2025-08-13,2025-08-25
None,Backa Topola,SRB,1,1257.9921875,2025-08-10,2025-08-25
None,Bnei Sakhinin,ISR,1,1256.35449219,2025-08-08,2025-08-25
None,NFC Volos,GRE,1,1253.77685547,2025-08-08,2025-08-25
None,HNK Gorica,CRO,1,1253.15393066,2025-08-11,2025-08-16
None,Diosgyori,HUN,1,1252.87231445,2025-08-10,2025-08-16
None,Bravo,SVN,1,1252.71826172,2025-08-10,2025-08-25
None,Karpaty,UKR,1,1251.29760742,2025-08-08,2025-08-16
None,Noah,ARM,0,1249.89013672,2025-08-08,2025-08-14
None,Aktobe,KAZ,0,1244.12756348,2025-08-08,2025-08-25
None,Breidablik,ISL,0,1242.6809082,2025-08-08,2025-08-14
None,Metalist 1925,UKR,1,1240.61572266,2025-08-08,2025-08-25
None,Kalithea,GRE,1,1239.06921387,2025-08-08,2025-08-25
None,HJK Helsinki,FIN,0,1237.74145508,2025-08-07,2025-08-25
None,Obolon Kyiv,UKR,1,1236.91320801,2025-08-11,2025-08-15
None,Derry City,IRL,0,1236.40185547,2025-08-08,2025-08-25
None,Livingston,SCO,1,1234.62353516,2025-08-10,2025-08-25
None,LNZ,UKR,1,1233.09814453,2025-08-10,2025-08-25
None,Unirea Slobozia,ROM,1,1232.8203125,2025-08-11,2025-08-15
None,Degerfors,SWE,1,1231.85693359,2025-08-11,2025-08-18
None,Ararat,ARM,0,1231.55786133,2025-08-08,2025-08-14
None,Panserraikos,GRE,1,1230.26013184,2025-08-08,2025-08-25
None,Maccabi Bnei Raina,ISR,1,1226.26477051,2025-08-08,2025-08-25
None,Drita,KOS,0,1224.71398926,2025-08-08,2025-08-14
None,Valur,ISL,0,1222.72619629,2025-08-08,2025-08-25
None,Shkendija,MAC,0,1220.70239258,2025-08-13,2025-08-25
None,Haugesund,NOR,1,1218.26611328,2025-08-11,2025-08-25
None,CSKA 1948 Sofia,BUL,1,1215.92028809,2025-08-09,2025-08-15
None,Falkirk,SCO,1,1212.83654785,2025-08-10,2025-08-25
None,Nyiregyhaza,HUN,1,1212.39611816,2025-08-10,2025-08-25
None,Kisvarda,HUN,1,1212.07824707,2025-08-11,2025-08-15
None,Klaksvik,FAR,0,1212.0032959,2025-08-08,2025-08-14
None,Ironi Tiberias,ISR,1,1211.20251465,2025-08-08,2025-08-25
None,Akureyri,ISL,0,1210.83410645,2025-08-08,2025-08-25
None,Zeljeznicar,BHZ,0,1210.63049316,2025-08-08,2025-08-25
None,Veres,UKR,1,1208.3626709,2025-08-09,2025-08-25
None,Arges Pitesti,ROM,1,1207.86437988,2025-08-08,2025-08-25
None,M Petach Tikva,ISR,1,1207.32910156,2025-08-08,2025-08-25
None,Lok Sofia,BUL,1,1207.19946289,2025-08-11,2025-08-17
None,Kragujevac,SRB,1,1206.67321777,2025-08-12,2025-08-25
None,FK Sarajevo,BHZ,0,1204.11352539,2025-08-08,2025-08-25
None,Borac Banja Luka,BHZ,0,1203.70349121,2025-08-08,2025-08-25
None,Ordabasy,KAZ,0,1202.97888184,2025-08-08,2025-08-25
None,Ballkani,KOS,0,1199.97546387,2025-08-08,2025-08-14
None,Csikszereda,ROM,1,1197.94335938,2025-08-08,2025-08-17
None,Dinamo Minsk,BLR,0,1197.63452148,2025-08-06,2025-08-25
None,Kazincbarcika,HUN,1,1196.78637695,2025-08-09,2025-08-16
None,Ilves Tampere,FIN,0,1196.46740723,2025-08-07,2025-08-25
None,Auda,LAT,0,1194.25268555,2025-08-08,2025-08-25
None,Novi Pazar,SRB,1,1191.46862793,2025-08-11,2025-08-16
None,Metaloglobus,ROM,1,1190.47412109,2025-08-09,2025-08-15
None,Botev Plovdiv,BUL,1,1189.60559082,2025-08-11,2025-08-16
None,Cukaricki,SRB,1,1189.47241211,2025-08-10,2025-08-15
None,Daugavpils,LAT,0,1187.10717773,2025-08-08,2025-08-25
None,Lok Plovdiv,BUL,1,1182.62561035,2025-08-12,2025-08-15
None,Kiryat Shmona,ISR,1,1182.42578125,2025-08-08,2025-08-25
None,Petrocub,MOL,0,1178.26525879,2025-08-08,2025-08-25
None,Hapoel Eran Hadera,ISR,1,1176.61499023,2025-08-08,2025-08-25
None,Seinajoki,FIN,0,1174.2689209,2025-08-07,2025-08-25
None,Zalgiris Vilnius,LIT,0,1170.11474609,2025-08-08,2025-08-25
None,Primorje,SVN,1,1169.74804688,2025-08-11,2025-08-15
None,Beroe Stara Zagora,BUL,1,1165.7668457,2025-08-12,2025-08-16
None,Neman Grodno,BLR,0,1165.63269043,2025-08-06,2025-08-14
None,Banants,ARM,0,1163.86499023,2025-08-08,2025-08-25
None,Radomlje,SVN,1,1163.09912109,2025-08-10,2025-08-15
None,Torpedo Kutaisi,GEO,0,1159.6373291,2025-08-01,2025-08-25
None,Milsami Orhei,MOL,0,1158.32312012,2025-08-08,2025-08-14
None,Egnatia,ALB,0,1157.54980469,2025-08-08,2025-08-14
None,Dinamo Tirana,ALB,0,1156.90209961,2025-08-08,2025-08-14
None,Kudrivka,UKR,1,1153.06286621,2025-08-12,2025-08-25
None,Partizani Tirana,ALB,0,1151.07910156,2025-08-08,2025-08-25
None,Lamia,GRE,1,1150.45861816,2025-08-08,2025-08-25
None,FC Spaeri,GEO,0,1150.31750488,2025-08-01,2025-08-25
None,Dila Gori,GEO,0,1149.46276855,2025-08-01,2025-08-25
None,Saburtalo,GEO,0,1149.43676758,2025-08-01,2025-08-25
None,Aluminij,SVN,1,1149.171875,2025-08-10,2025-08-25
None,Mura,SVN,1,1146.15722656,2025-08-11,2025-08-25
None,Slavia Sofia,BUL,1,1145.78894043,2025-08-10,2025-08-15
None,IMT,SRB,1,1145.72973633,2025-08-12,2025-08-25
None,Spartak Varna,BUL,1,1144.73718262,2025-08-11,2025-08-16
None,Zeleznicar Pancevo,SRB,1,1143.5559082,2025-08-12,2025-08-25
None,Flora Tallinn,EST,0,1142.45568848,2025-08-08,2025-08-25
None,Zimbru,MOL,0,1140.54980469,2025-08-08,2025-08-25
None,SK Poltava,UKR,1,1140.23449707,2025-08-09,2025-08-25
None,Vllaznia,ALB,0,1138.12561035,2025-08-08,2025-08-25
None,Kauno Zalgiris,LIT,0,1138.05126953,2025-08-08,2025-08-14
None,Mladost Lucani,SRB,1,1135.0592041,2025-08-08,2025-08-15
None,Domzale,SVN,1,1130.10473633,2025-08-11,2025-08-25
None,Levski Krumovgrad,BUL,1,1129.01391602,2025-08-08,2025-08-25
None,Episentr,UKR,1,1128.35925293,2025-08-10,2025-08-25
None,OFK,SRB,1,1127.58117676,2025-08-10,2025-08-25
None,Vukovar,CRO,1,1121.79174805,2025-08-09,2025-08-25
None,Dinamo Brest,BLR,0,1119.78918457,2025-08-06,2025-08-25
None,Zlatibor,SRB,1,1115.46154785,2025-08-08,2025-08-15
None,Banga,LIT,0,1114.74743652,2025-08-08,2025-08-25
None,Nis,SRB,1,1113.66442871,2025-08-11,2025-08-25
None,Linfield,NIR,0,1112.89624023,2025-08-08,2025-08-14
None,Septemvri Sofia,BUL,1,1110.6036377,2025-08-12,2025-08-25
None,Botev Vratsa,BUL,1,1110.32873535,2025-08-09,2025-08-17
None,Hegelmann,LIT,0,1108.46008301,2025-08-08,2025-08-25
None,Torpedo Zhodino,BLR,0,1104.94042969,2025-08-06,2025-08-25
None,Krusevac,SRB,1,1102.06945801,2025-08-11,2025-08-25
None,Hamrun,MLT,0,1099.93579102,2025-08-06,2025-08-14
None,Decic,MNT,0,1098.26611328,2025-08-01,2025-08-25
None,Vardar,MAC,0,1097.36499023,2025-08-06,2025-08-25
None,Paide Linnameeskond,EST,0,1094.62512207,2025-08-08,2025-08-25
None,Sileks,MAC,0,1088.70031738,2025-08-06,2025-08-25
None,Sutjeska,MNT,0,1082.16503906,2025-08-01,2025-08-25
None,FC Infonet,EST,0,1080.58312988,2025-08-08,2025-08-14
None,Nomme Kalju,EST,0,1079.59204102,2025-08-08,2025-08-25
None,Prishtine,KOS,0,1079.28466797,2025-08-08,2025-08-25
None,Rabotnicki,MAC,0,1078.9876709,2025-08-06,2025-08-25
None,Dobrudzha,BUL,1,1076.09143066,2025-08-09,2025-08-25
None,Radnik Surdulica,SRB,1,1073.98205566,2025-08-10,2025-08-16
None,The New Saints,WAL,0,1066.46008301,2025-07-30,2025-08-25
None,HB Torshavn,FAR,0,1063.23962402,2025-08-08,2025-08-25
None,Larne,NIR,0,1059.81518555,2025-08-08,2025-08-14
None,Ivanjica,SRB,1,1058.18566895,2025-08-12,2025-08-16
None,Gota,FAR,0,1058.10437012,2025-08-08,2025-08-14
None,Floriana,MLT,0,1056.79248047,2025-08-06,2025-08-25
None,Blagoevgrad,BUL,1,1054.90905762,2025-08-08,2025-08-25
None,Montana 1921,BUL,1,1053.31640625,2025-08-09,2025-08-15
None,Runavik,FAR,0,1052.48791504,2025-08-08,2025-08-25
None,Malisheva,KOS,0,1052.38659668,2025-08-08,2025-08-25
None,Dungannon,NIR,0,1052.34411621,2025-08-08,2025-08-25
None,Hibernians Paola,MLT,0,1048.64367676,2025-08-06,2025-08-25
None,R Letzebuerg,LUX,0,1048.31689453,2025-08-08,2025-08-25
None,Differdang,LUX,0,1046.18457031,2025-08-08,2025-08-14
None,Birkirkara,MLT,0,1044.20751953,2025-08-06,2025-08-25
None,Una Strassen,LUX,0,1040.38220215,2025-08-08,2025-08-25
None,Hebar,BUL,1,1037.88146973,2025-08-08,2025-08-25
None,Podgorica,MNT,0,1034.60974121,2025-08-01,2025-08-25
None,Cliftonville,NIR,0,1033.04699707,2025-08-08,2025-08-25
None,Dudelange,LUX,0,1028.19665527,2025-08-08,2025-08-25
None,Lincoln,GIB,0,1003.36248779,2025-08-08,2025-08-14
None,Escaldes,AND,0,1002.05847168,2025-08-01,2025-08-25
None,Penybont,WAL,0,988.121398926,2025-07-30,2025-08-25
None,Haverfordwest,WAL,0,985.383422852,2025-07-30,2025-08-25
None,Santa Coloma,AND,0,954.309020996,2025-08-01,2025-08-25
None,Atletic Club Escaldes,AND,0,944.226318359,2025-08-01,2025-08-25
None,St Josephs,GIB,0,942.204040527,2025-08-08,2025-08-25
None,FCB Magpies,GIB,0,909.127685547,2025-08-08,2025-08-25
None,Tre Fiori,SMR,0,707.481750488,2025-08-08,2025-08-25
None,SS Virtus,SMR,0,706.56451416,2025-08-08,2025-08-14
None,La Fiorita,SMR,0,687.469421387,2025-08-08,2025-08-25


